;Author;Title;Exist
3;Jason Eisner;A Class of Rational ;left_only
18;J. Andres Montoya;Looking for Pairs that Hard to Separate: A Quantum Approach.;left_only
19;Edmund Grimley-Evans;Multi-tape Automata for Speech and Language Systems: A Prolog Implementation.;left_only
24;Jan Holub;On the Implementation of Compact DAWG's.;left_only
27;Jan Holub;Implementation of Nondeterministic Finite Automata for Approximate Pattern Matching.;left_only
36;Jean-Marc Champarnaud;A Class of Rational ;left_only
40;Jean-Marc Champarnaud;Brzozowski's Derivatives Extended to Multiplicities.;left_only
41;Jean-Marc Champarnaud;Implicit Structures to Implement NFA's from Regular Expressions.;left_only
43;Jean-Marc Champarnaud;SEA: A Symbolic Environment for Automata Theory.;left_only
44;Jean-Marc Champarnaud;Determinization of Glushkov Automata.;left_only
45;Jean-Marc Champarnaud;Automata and Binary Decision Diagrams.;left_only
46;Jean-Marc Champarnaud;Autographe: A Graphical Version of Automate.;left_only
47;Jean-Marc Champarnaud;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;left_only
52;Beatrix Braune;Animation of the Generation and Computation of Finite Automata for Learning Software.;left_only
53;Yanbing Liu;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;left_only
79;Andreas Kerren;Animation of the Generation and Computation of Finite Automata for Learning Software.;left_only
80;Xiuming Wu;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;left_only
81;Xiuming Wu;Efficient Implementation of Regular Languages Using R-AFA.;left_only
83;Antoine Georgevail;Time Series Forecasting by Finite-State Automata.;left_only
96;Mehryar Mohri;A Rational Design for a Weighted Finite-State Transducer Library.;left_only
113;Marinella Sciortino;Nondeterministic Moore Automata and Brzozowski's Algorithm.;left_only
115;Marinella Sciortino;On Extremal Cases of Hopcroft's Algorithm.;left_only
117;Christophe Daguin;Time Series Forecasting by Finite-State Automata.;left_only
120;Stephan Diehl;Animation of the Generation and Computation of Finite Automata for Learning Software.;left_only
122;X. Xiong;Implementing Sequential and Parallel Programs for the Homing Sequence Problem.;left_only
124;Géraud Sénizergues;LALBLC A Program Testing the Equivalence of dpda's.;left_only
131;Jan Daciuk;Treatment of Unknown Words.;left_only
154;Theis Rauhe;Algorithms for Guided Tree Automata.;left_only
160;A. S. M. Sohidull Islam;On Palindromic Sequence Automata and Applications.;left_only
162;Dominique Lavenier;Path-Equivalent Removals of ;left_only
165;Manuel Baclet;Around Hopcroft's Algorithm.;left_only
175;Derick Wood;Thompson Digraphs: A Characterization.;left_only
176;Derick Wood;Extended Context-Free Grammars and Normal Form Algorithms.;left_only
177;Derick Wood;WIA and Theory and Practice.;left_only
178;Derick Wood;Instruction Computation in Subset Construction.;left_only
184;Jozef Jirásek Jr.;Kuratowski Algebras Generated by Prefix-Free Languages.;left_only
185;Stanley Edward Stevens Jr.;In Vitro Implementation of Finite-State Machines.;left_only
198;Ping Liu;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;left_only
223;Yuri Velinov;On the Syntax, Semantics, and Implementation of a Graph-Based Computational Environment.;left_only
224;Yuri Velinov;Teaching Theory of Computation with Tape Machines.;left_only
233;R. C. Murphy;In Vitro Implementation of Finite-State Machines.;left_only
243;Nicolae Santean;An O(n;left_only
244;Nicolae Santean;Minimal Cover-Automata for Finite Languages.;left_only
255;Zdenek Tronícek;Operations on DASG.;left_only
289;Martin Zimmermann;Time-Optimal Winning Strategies for Poset Games.;left_only
303;Miri Ben-Nissan;Accelerating Boyer Moore Searches on Binary Texts.;left_only
316;Rogério Reis;Antimirov and Mosses's Rewrite System Revisited.;left_only
334;Maxime Crochemore;On the Implementation of Compact DAWG's.;left_only
358;Markus Holzer;Brzozowski's Minimization Algorithm - More Robust than Expected - (Extended Abstract).;left_only
378;Miguel A. Alonso;Construction of Efficient Generalized LR Parsers.;left_only
379;Jesús Vilares Ferro;Robust Spelling Correction.;left_only
380;Jesús Vilares Ferro;Robust Parsing Using Dynamic Programming.;left_only
381;Jesús Vilares Ferro;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;left_only
387;Jens Vöge;Minimal Separating Sets for Muller Automata.;left_only
388;Jens Vöge;The Automata Theory Package ;left_only
405;William I. Gasarch;Implementing WS1S via Finite Automata: Performance Issues.;left_only
406;William I. Gasarch;Implementing WS1S via Finite Automata.;left_only
412;Thierry Poibeau;Bi-directional Automata to Extract Complex Phrases from Texts.;left_only
415;Gérard Duchamp;Brzozowski's Derivatives Extended to Multiplicities.;left_only
416;Gérard Duchamp;SEA: A Symbolic Environment for Automata Theory.;left_only
417;Gérard Duchamp;Operations over Automata with Multiplicities.;left_only
446;Johanna Högberg;Z-Automata for Compact and Direct Representation of Unranked Tree Languages.;left_only
447;Johanna Högberg;A Comparison of Two N-Best Extraction Methods for Weighted Tree Automata.;left_only
448;Johanna Högberg;On the Regularity and Learnability of Ordered DAG Languages.;left_only
449;Johanna Högberg;Deterministic Stack Transducers.;left_only
450;Johanna Högberg;Backward and Forward Bisimulation Minimisation of Tree Automata.;left_only
451;Johanna Högberg;Bisimulation Minimization of Tree Automata.;left_only
452;Johanna Högberg;Wind in the Willows - Generating Music by Means of Tree Transducers.;left_only
455;Marie-Chantal Beaulieu;Automata and Computational Probabilities.;left_only
478;Jeffrey O. Shallit;State Complexity and Jacobsthal's Function.;left_only
482;Patrick Henry;LALBLC A Program Testing the Equivalence of dpda's.;left_only
483;Dominique L'Her;Proving Sequential Function Chart Programs Using Automata.;left_only
496;Marianne Flouret;SEA: A Symbolic Environment for Automata Theory.;left_only
497;Marianne Flouret;Operations over Automata with Multiplicities.;left_only
505;Janusz A. Brzozowski;Automata of Asynchronous Behaviors.;left_only
513;Reinhard Wilhelm;Animation of the Generation and Computation of Finite Automata for Learning Software.;left_only
516;Loek G. Cleophas;Forest FIRE: A Taxonomy-based Toolkit of Tree Automata and Regular Tree Algorithms.;left_only
517;Loek G. Cleophas;FIRE Station: An Environment for Manipulating Finite Automata and Regular Expression Views.;left_only
518;Loek G. Cleophas;The Effect of Rewriting Regular Expressions on Their Accepting Automata.;left_only
533;M. Sohel Rahman;On Palindromic Sequence Automata and Applications.;left_only
534;M. Sohel Rahman;The Constrained Longest Common Subsequence Problem for Degenerate Strings.;left_only
535;Cristian Calude;Metric Lexical Analysis.;left_only
541;Pascal Caron;SEA: A Symbolic Environment for Automata Theory.;left_only
542;Pascal Caron;LANGAGE: A Maple Package for Automaton Characterization of Regular Languages.;left_only
545;Alexander Ja. Dikovsky;Categorial Grammars with Iterated Types form a Strict Hierarchy of k-Valued Languages.;left_only
547;Ricardo Ueda Karpischek;Paging Automata.;left_only
552;João Pires;Partial Derivatives of Regular Expressions over Alphabet-Invariant and User-Defined Labels.;left_only
557;S. Ulbrand;The Automata Theory Package ;left_only
568;Sebastian Jakobi;Brzozowski's Minimization Algorithm - More Robust than Expected - (Extended Abstract).;left_only
569;A. N. Trahtman;Reducing the Time Complexity of Testing for Local Threshold Testability.;left_only
570;A. N. Trahtman;A Polynomial Time Algorithm for Left [Right] Local Testability.;left_only
571;A. N. Trahtman;A Package TESTAS for Checking Some Kinds of Testability.;left_only
572;A. N. Trahtman;An Algorithm to Verify Local Threshold Testability of Deterministic Finite Automata.;left_only
573;A. N. Trahtman;A Precise Estimation of the Order of Local Testability of a Deterministic Finite Automaton.;left_only
577;J. Howard Johnson;Instruction Computation in Subset Construction.;left_only
587;Jean-Francis Michon;Automata and Binary Decision Diagrams.;left_only
595;Sheng Yu;An O(n;left_only
596;Sheng Yu;Metric Lexical Analysis.;left_only
597;Sheng Yu;State Complexity of Basic Operations on Finite Languages.;left_only
598;Sheng Yu;Minimal Cover-Automata for Finite Languages.;left_only
599;Sheng Yu;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;left_only
600;Sheng Yu;Efficient Implementation of Regular Languages Using R-AFA.;left_only
601;Sheng Yu;NFA to DFA Transformation for Finite Languages.;left_only
608;Gabriel Thierrin;Multiset Processing by Means of Systems of Finite State Transducers.;left_only
610;Michael D. Riley;Algorithms for Weighted Finite Automata with Failure Transitions.;left_only
611;Michael D. Riley;On the Disambiguation of Weighted Automata.;left_only
612;Michael D. Riley;A Pushdown Transducer Extension for the OpenFst Library.;left_only
613;Michael D. Riley;Filters for Efficient Composition of Weighted Finite-State Transducers.;left_only
614;Michael D. Riley;OpenFst: A General and Efficient Weighted Finite-State Transducer Library.;left_only
615;Michael D. Riley;A Rational Design for a Weighted Finite-State Transducer Library.;left_only
616;Sarah O'Connor;Inside Vaucanson.;left_only
618;Christel Baier;On-the-Fly Stuttering in the Construction of Deterministic ;left_only
621;Helmut Seidl;Crossing the Syntactic Barrier: Hom-Disequalities for H;left_only
625;Gregory Kucherov;Visualization of Dynamic Automata Using Padnon.;left_only
627;Charlotte L. Miller;Towards a Meta-Normal Form Algorithm for Context-Free Grammars.;left_only
632;Bai Li;State Complexity of Overlap Assembly.;left_only
647;Max Silberztein;INTEX 4.1 for Windows: A Walkthrough.;left_only
648;Max Silberztein;INTEX: An Integrated FST Toolbox.;left_only
655;Max H. Garzon;In Vitro Implementation of Finite-State Machines.;left_only
656;Max H. Garzon;Dynamical Implementation of Nondeterministic Automata and Concurrent Systems.;left_only
663;Matti Nykänen;Using Acceptors as Transducers.;left_only
689;Nils Klarlund;Algorithms for Guided Tree Automata.;left_only
692;Antonio Restivo;Nondeterministic Moore Automata and Brzozowski's Algorithm.;left_only
693;Antonio Restivo;On Extremal Cases of Hopcroft's Algorithm.;left_only
708;Lionel Marcé;Proving Sequential Function Chart Programs Using Automata.;left_only
726;Jean-Luc Ponty;Thompson Digraphs: A Characterization.;left_only
727;Jean-Luc Ponty;Determinization of Glushkov Automata.;left_only
728;Jean-Luc Ponty;An Efficient Null-Free Procedure for Deciding Regular Language Membership.;left_only
729;Jean-Luc Ponty;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;left_only
734;Nils Buhrke;The Automata Theory Package ;left_only
738;Pavel V. Martyugin;Synchronization of Automata with One Undefined or Ambiguous Transition.;left_only
739;Pavel V. Martyugin;Complexity of Problems Concerning Reset Words for Cyclic and Eulerian Automata.;left_only
741;Gertjan van Noord;An Extendible Regular Expression Compiler for Finite-State Approaches in Natural Language Processing.;left_only
742;Gertjan van Noord;FSA Utilities: A Toolbox to Manipulate Finite-State Automata.;left_only
744;Radu Negulescu;Automata of Asynchronous Behaviors.;left_only
746;Russell J. Deaton;In Vitro Implementation of Finite-State Machines.;left_only
748;Claudia Cauli;Equivalence of Probabilistic \mu -Calculus and p-Automata.;left_only
751;Antonio Cano;Finite Automata and Unions of Regular Patterns with Bounded Constant Segments.;left_only
752;Antonio Cano;Is Learning RFSAs Better Than Learning DFAs?.;left_only
757;Dale Gerdemann;An Extendible Regular Expression Compiler for Finite-State Approaches in Natural Language Processing.;left_only
794;Paolo Massazza;On the Conjecture ℒ;left_only
795;André Almeida;FAdo and GUItar.;left_only
809;Andreas Reuß;Crossing the Syntactic Barrier: Hom-Disequalities for H;left_only
817;Kim Guldstrand Larsen;Timed and Untimed Energy Games.;left_only
844;Mihaela Gheorghiu;Simulation of Gate Circuits in the Algebra of Transients.;left_only
845;Mihaela Gheorghiu;Feedback-Free Circuits in the Algebra of Transients.;left_only
864;Marie-Catherine Vilarem;FA Minimisation Heuristics for a Class of Finite Languages.;left_only
875;Helmut Jürgensen;Finite Automata Encoding Geometric Figures.;left_only
876;Donald R. Franceschetti;In Vitro Implementation of Finite-State Machines.;left_only
877;Jason R. Smith;An Incremental Algorithm for Constructing Minimal Deterministic Finite Cover Automata.;left_only
878;Michael Gössel;A Structural Method for Output Compaction of Sequential Automata Implemented as Circuits.;left_only
892;Morten Biehl;Algorithms for Guided Tree Automata.;left_only
897;Sandra Huerter;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;left_only
900;Claire Pagetti;Around Hopcroft's Algorithm.;left_only
906;Cheng Li;Testability of Oracle Automata.;left_only
907;Cheng Li;New Complexity Results for Some Linear Counting Problems Using Minimal Solutions to Linear Diophantine Equations.;left_only
918;Helmut Lescow;Minimal Separating Sets for Muller Automata.;left_only
919;R. Ramanujam;Dolev-Yao Theory with Associative Blindpair Operators.;left_only
920;R. Ramanujam;An Automaton Model of User-Controlled Navigation on the Web.;left_only
951;Denis Maurel;The Syntactic Prediction with Token Automata: Application to HandiAS System.;left_only
952;Denis Maurel;Pseudo-minimal Transducers: A Transducer with Proper Elements.;left_only
953;Denis Maurel;Time Series Forecasting by Finite-State Automata.;left_only
954;Denis Maurel;Building Automata on Schemata and Acceptability Tables: Application to French Data Adverbials.;left_only
973;Xavier Augros;Automata to Recognize Finite and Infinite Words with at Least Two Factorizations on a Given Finite Set.;left_only
981;Djelloul Ziadi;Determinization of Glushkov Automata.;left_only
982;Djelloul Ziadi;Sorting and Doubling Techniques for Set Partitioning and Automata Minimization Problems.;left_only
983;Djelloul Ziadi;A New Quadratic Algorithm to Convert a Regular Expression into an Automaton.;left_only
992;Joachim Klein;On-the-Fly Stuttering in the Construction of Deterministic ;left_only
1005;Jorge Graña;Regional Finite-State Error Repair.;left_only
1006;Jorge Graña;Compilation of Constraint-Based Contextual Rules for Part-of-Speech Tagging into Finite State Transducers.;left_only
1007;Jorge Graña;Compilation Methods of Minimal Acyclic Finite-State Automata for Large Dictionaries.;left_only
1009;Giusi Castiglione;Nondeterministic Moore Automata and Brzozowski's Algorithm.;left_only
1011;Giusi Castiglione;On Extremal Cases of Hopcroft's Algorithm.;left_only
1021;François Bertault;Visualization of Dynamic Automata Using Padnon.;left_only
1027;Cezar Câmpeanu;State Complexity of Basic Operations on Finite Languages.;left_only
1028;Cezar Câmpeanu;Minimal Cover-Automata for Finite Languages.;left_only
1035;Sandro Pedrazzini;The Finite State Automata's Design Patterns.;left_only
1045;Florent Nicart;A Class of Rational ;left_only
1056;Manuel Vilares Ferro;Construction of Efficient Generalized LR Parsers.;left_only
1067;Bala Ravikumar;Implementing Sequential and Parallel Programs for the Homing Sequence Problem.;left_only
1076;Ludwig Staiger;Finite Automata Encoding Geometric Figures.;left_only
1084;Jianlong Tan;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;left_only
1086;Are Uppman;Autographe: A Graphical Version of Automate.;left_only
1096;Kai Salomaa;Metric Lexical Analysis.;left_only
1097;Kai Salomaa;State Complexity of Basic Operations on Finite Languages.;left_only
1098;Kai Salomaa;Implementing Reversed Alternating Finite Automaton (r-AFA) Operations.;left_only
1099;Kai Salomaa;Efficient Implementation of Regular Languages Using R-AFA.;left_only
1100;Kai Salomaa;NFA to DFA Transformation for Finite Languages.;left_only
1106;Brigitte Le Pévédic;The Syntactic Prediction with Token Automata: Application to HandiAS System.;left_only
1108;Raphael Poss;Introducing VAUCANSON.;left_only
1120;Barbara Schubert;How to Use Sorting Procedures to Minimize DFA.;left_only
1121;Andrei Paun;Hopcroft's Minimization Technique: Queues or Stacks?.;left_only
1125;Andrei Paun;An O(n;left_only
1145;Jean Berstel;On the Complexity of Hopcroft's State Minimization Algorithm.;left_only
1154;H. F. Ting;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;left_only
1158;Dora Giammarresi;Thompson Digraphs: A Characterization.;left_only
1159;Dora Giammarresi;Extended Context-Free Grammars and Normal Form Algorithms.;left_only
1184;Juan Otero;Robust Spelling Correction.;left_only
1185;Juan Otero;Regional Finite-State Error Repair.;left_only
1203;Borivoj Melichar;Implementation of Nondeterministic Finite Automata for Approximate Pattern Matching.;left_only
1206;Romuald Boné;Time Series Forecasting by Finite-State Automata.;left_only
1207;John A. Rose;In Vitro Implementation of Finite-State Machines.;left_only
1226;Susan H. Rodger;Integrating Hands-on Work into the Formal Languages Course via Tools and Programming.;left_only
1228;David Cabrero Souto;Construction of Efficient Generalized LR Parsers.;left_only
1229;José Nuno Oliveira;Typed Linear Algebra for Weigthed (Probabilistic) Automata.;left_only
1243;Marco Almeida;Antimirov and Mosses's Rewrite System Revisited.;left_only
1244;Darrell R. Raymond;WIA and the Practice of Theory in Computer Science.;left_only
1245;Philippe Veber;Path-Equivalent Removals of ;left_only
1257;Maxux J. Aranzabe;Using Finite State Technology in Natural Language Processing of Basque.;left_only
1263;Jonathan Lee;Enumerating Regular Expressions and Their Languages.;left_only
1265;Alfonso Rodríguez-Patón;Hopcroft's Minimization Technique: Queues or Stacks?.;left_only
1269;Jérôme Amilhastre;FA Minimisation Heuristics for a Class of Finite Languages.;left_only
1270;Dominique Revuz;Operations on Extended Automata.;left_only
1271;George Anton Kiraz;Compressed Storage of Sparse Finite-State Transducers.;left_only
1272;George Anton Kiraz;Multi-tape Automata for Speech and Language Systems: A Prolog Implementation.;left_only
1280;Heiko Goeman;On Parsing and Condensing Substrings of LR Languages in Linear Time.;left_only
1287;Li Guo;Compressing Regular Expressions' DFA Table by Matrix Decomposition.;left_only
1289;Gheorghe Paun;Multiset Processing by Means of Systems of Finite State Transducers.;left_only
1302;Mihaela Paun;Hopcroft's Minimization Technique: Queues or Stacks?.;left_only
1314;Vincent Le Maout;Tools to Implement Automata, a First Step: ASTL.;left_only
1319;Olivier Rousseau;The Syntactic Prediction with Token Automata: Application to HandiAS System.;left_only
1323;Mark G. Eramian;Computing Entropy Maps of Finite-Automaton-Encoded Binary Images.;left_only
1326;Éric Laugerotte;SEA: A Symbolic Environment for Automata Theory.;left_only
1327;Éric Laugerotte;Operations over Automata with Multiplicities.;left_only
1338;Philippe Janssen;FA Minimisation Heuristics for a Class of Finite Languages.;left_only
1339;Diptarama Hendrian;Enumeration of Cryptarithms Using Deterministic Finite Automata.;left_only
1361;Fernando C. N. Pereira;A Rational Design for a Weighted Finite-State Transducer Library.;left_only
1364;James Glenn;Implementing WS1S via Finite Automata: Performance Issues.;left_only
1365;James Glenn;Implementing WS1S via Finite Automata.;left_only
1375;Mathieu Giraud;Path-Equivalent Removals of ;left_only
1392;Oliver Matz;The Automata Theory Package ;left_only
1393;Y. Gao;In Vitro Implementation of Finite-State Machines.;left_only
1396;Markus Seuring;A Structural Method for Output Compaction of Sequential Automata Implemented as Circuits.;left_only
1397;Michael Thomas;Enhancements of Partitioning Techniques for Image Compression Using Weighted Finite Automata.;left_only
1401;Laurent Chauvier;Pseudo-minimal Transducers: A Transducer with Proper Elements.;left_only
1410;Nir Piterman;Equivalence of Probabilistic \mu -Calculus and p-Automata.;left_only
1417;Jürgen Albert;Extended Context-Free Grammars and Normal Form Algorithms.;left_only
1424;Anne Bergeron;Analysis of Reactive Systems with n Timers.;left_only
1425;Anne Bergeron;Automata and Computational Probabilities.;left_only
1427;Philippe Le Parc;Proving Sequential Function Chart Programs Using Automata.;left_only
1434;André Kempe;A Class of Rational ;left_only
1457;Karel Culík II;State Complexity of Basic Operations on Finite Languages.;left_only
1464;Gaëlle Largeteau;Term Validation of Distributed Hard Real-Time Applications.;left_only
1475;Z. S. Peng;Time and Space Efficient Algorithms for Constrained Sequence Alignment.;left_only
1478;Norbert Blum;On Parsing LL-Languages.;left_only
1481;Philippe Andary;SEA: A Symbolic Environment for Automata Theory.;left_only
1500;Bruce W. Watson;A Taxonomy of Algorithms for Constructing Minimal Acyclic Deterministic Finite Automata.;left_only
1501;Bruce W. Watson;A Fast New Semi-incremental Algorithm for the Construction of Minimal Acyclic DFAs.;left_only
1502;Bruce W. Watson;Practical Optimizations for Automata.;left_only
1503;Bruce W. Watson;FIRE Lite: FAs and REs in C++.;left_only
1510;Eugene Eberbach;Dynamical Implementation of Nondeterministic Automata and Concurrent Systems.;left_only
1522;Nelma Moreira;Antimirov and Mosses's Rewrite System Revisited.;left_only
1528;Riccardo Catalano;Analysis of Reactive Systems with n Timers.;left_only
1531;Franck Guingne;A Class of Rational ;left_only
1535;Olivier Carton;On the Complexity of Hopcroft's State Minimization Algorithm.;left_only
